+-----------------------------------------------------------------------------+
| Logfile        : gmm-sweepk-CH-ds1.log                                      |
| Job id         : 5087579523                 Class: SLES11SP4&&8C&&32G Qslot: /icf/fdk/pdx_critical_vp/bench11|
| Executed on    : plxck3033                  Pool : pdx_misc                 |
| Queueing time  : Sat Nov  3 00:36:07 2018                                   |
| Starting time  : Sat Nov  3 00:36:09 2018          Qwait:   0h:00m:02s      |
| Command        : unbuffer python bin/part1.py -s ds1 -a gmm-sweepk-CH       |
+-----------------------------------------------------------------------------+
/nfs/pdx/disks/icf_env_disk001/bjbarcla/gwa/issues/ml/mlai/lib/python3.6/site-packages/sklearn/ensemble/weight_boosting.py:29: DeprecationWarning: numpy.core.umath_tests is an internal NumPy module and should not be imported. It will be removed in a future NumPy release.
  from numpy.core.umath_tests import inner1d
** -> gmm k=2 cov_type=spherical elapsed seconds 2.2411346435546875e-05 <- took less than 1 second
** -> CH gmm k=2 cov_type=spherical elapsed seconds 0.03935670852661133 <- took less than 1 second
Dataset=ds1 k=2 cov_type=spherical CH=7611.331786392912
** -> gmm k=2 cov_type=diag elapsed seconds 1.8835067749023438e-05 <- took less than 1 second
** -> CH gmm k=2 cov_type=diag elapsed seconds 0.012897253036499023 <- took less than 1 second
Dataset=ds1 k=2 cov_type=diag CH=10268.934698673205
** -> gmm k=2 cov_type=tied elapsed seconds 2.0503997802734375e-05 <- took less than 1 second
** -> CH gmm k=2 cov_type=tied elapsed seconds 0.01566028594970703 <- took less than 1 second
Dataset=ds1 k=2 cov_type=tied CH=7735.999797153117
** -> gmm k=2 cov_type=full elapsed seconds 2.002716064453125e-05 <- took less than 1 second
** -> CH gmm k=2 cov_type=full elapsed seconds 0.0513155460357666 <- took less than 1 second
Dataset=ds1 k=2 cov_type=full CH=10268.934698673205
** -> gmm k=6 cov_type=spherical elapsed seconds 1.9073486328125e-05 <- took less than 1 second
** -> CH gmm k=6 cov_type=spherical elapsed seconds 0.011759519577026367 <- took less than 1 second
Dataset=ds1 k=6 cov_type=spherical CH=7410.201622066237
** -> gmm k=6 cov_type=diag elapsed seconds 1.5020370483398438e-05 <- took less than 1 second
** -> CH gmm k=6 cov_type=diag elapsed seconds 0.02419877052307129 <- took less than 1 second
Dataset=ds1 k=6 cov_type=diag CH=11312.457290152419
** -> gmm k=6 cov_type=tied elapsed seconds 1.5974044799804688e-05 <- took less than 1 second
** -> CH gmm k=6 cov_type=tied elapsed seconds 0.012116432189941406 <- took less than 1 second
Dataset=ds1 k=6 cov_type=tied CH=11566.970535699114
** -> gmm k=6 cov_type=full elapsed seconds 1.5020370483398438e-05 <- took less than 1 second
** -> CH gmm k=6 cov_type=full elapsed seconds 0.013448476791381836 <- took less than 1 second
Dataset=ds1 k=6 cov_type=full CH=11363.34076150224
** -> gmm k=10 cov_type=spherical elapsed seconds 1.6689300537109375e-05 <- took less than 1 second
** -> CH gmm k=10 cov_type=spherical elapsed seconds 0.029584646224975586 <- took less than 1 second
Dataset=ds1 k=10 cov_type=spherical CH=7846.397220827952
** -> gmm k=10 cov_type=diag elapsed seconds 2.3603439331054688e-05 <- took less than 1 second
** -> CH gmm k=10 cov_type=diag elapsed seconds 0.013956546783447266 <- took less than 1 second
Dataset=ds1 k=10 cov_type=diag CH=12666.711237744023
** -> gmm k=10 cov_type=tied elapsed seconds 1.5020370483398438e-05 <- took less than 1 second
** -> CH gmm k=10 cov_type=tied elapsed seconds 0.013524770736694336 <- took less than 1 second
Dataset=ds1 k=10 cov_type=tied CH=12840.77156279744
** -> gmm k=10 cov_type=full elapsed seconds 1.71661376953125e-05 <- took less than 1 second
** -> CH gmm k=10 cov_type=full elapsed seconds 0.02576923370361328 <- took less than 1 second
Dataset=ds1 k=10 cov_type=full CH=12812.879220877863
** -> gmm k=14 cov_type=spherical elapsed seconds 1.4543533325195312e-05 <- took less than 1 second
** -> CH gmm k=14 cov_type=spherical elapsed seconds 0.027493000030517578 <- took less than 1 second
Dataset=ds1 k=14 cov_type=spherical CH=10028.793634139402
** -> gmm k=14 cov_type=diag elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> CH gmm k=14 cov_type=diag elapsed seconds 0.02972698211669922 <- took less than 1 second
Dataset=ds1 k=14 cov_type=diag CH=15191.297201389838
** -> gmm k=14 cov_type=tied elapsed seconds 1.52587890625e-05 <- took less than 1 second
** -> CH gmm k=14 cov_type=tied elapsed seconds 0.03212094306945801 <- took less than 1 second
Dataset=ds1 k=14 cov_type=tied CH=15438.806191877193
** -> gmm k=14 cov_type=full elapsed seconds 1.5735626220703125e-05 <- took less than 1 second
** -> CH gmm k=14 cov_type=full elapsed seconds 0.014616012573242188 <- took less than 1 second
Dataset=ds1 k=14 cov_type=full CH=15411.288541693508
** -> gmm k=18 cov_type=spherical elapsed seconds 1.5974044799804688e-05 <- took less than 1 second
** -> CH gmm k=18 cov_type=spherical elapsed seconds 0.045091867446899414 <- took less than 1 second
Dataset=ds1 k=18 cov_type=spherical CH=10271.483008624993
** -> gmm k=18 cov_type=diag elapsed seconds 1.7404556274414062e-05 <- took less than 1 second
** -> CH gmm k=18 cov_type=diag elapsed seconds 0.02863764762878418 <- took less than 1 second
