+-----------------------------------------------------------------------------+
| Logfile        : gmm-sweepk-ds4.log                                         |
| Job id         : 5087579558                 Class: SLES11SP4&&8C&&32G Qslot: /icf/fdk/pdx_critical_vp/bench11|
| Executed on    : plxcfb016                  Pool : pdx_misc                 |
| Queueing time  : Sat Nov  3 00:36:07 2018                                   |
| Starting time  : Sat Nov  3 00:36:09 2018          Qwait:   0h:00m:02s      |
| Command        : unbuffer python bin/part1.py -s ds4 -a gmm-sweepk          |
+-----------------------------------------------------------------------------+
/nfs/pdx/disks/icf_env_disk001/bjbarcla/gwa/issues/ml/mlai/lib/python3.6/site-packages/sklearn/ensemble/weight_boosting.py:29: DeprecationWarning: numpy.core.umath_tests is an internal NumPy module and should not be imported. It will be removed in a future NumPy release.
  from numpy.core.umath_tests import inner1d
** -> gmm k=2 cov_type=spherical elapsed seconds 2.09808349609375e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=spherical elapsed seconds 67.31662106513977 <- took 1.0 minute, 7.0 seconds
Dataset=ds4 k=2 cov_type=spherical sil=0.13854473792834554
** -> gmm k=2 cov_type=diag elapsed seconds 1.6689300537109375e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=diag elapsed seconds 66.12120962142944 <- took 1.0 minute, 6.0 seconds
Dataset=ds4 k=2 cov_type=diag sil=0.06496075030162718
** -> gmm k=2 cov_type=tied elapsed seconds 1.621246337890625e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=tied elapsed seconds 66.89510726928711 <- took 1.0 minute, 6.0 seconds
Dataset=ds4 k=2 cov_type=tied sil=0.06490497133728042
** -> gmm k=2 cov_type=full elapsed seconds 1.621246337890625e-05 <- took less than 1 second
** -> sil gmm k=2 cov_type=full elapsed seconds 67.12967419624329 <- took 1.0 minute, 7.0 seconds
Dataset=ds4 k=2 cov_type=full sil=0.06496075030162718
** -> gmm k=3 cov_type=spherical elapsed seconds 1.52587890625e-05 <- took less than 1 second
** -> sil gmm k=3 cov_type=spherical elapsed seconds 66.94525671005249 <- took 1.0 minute, 6.0 seconds
Dataset=ds4 k=3 cov_type=spherical sil=0.0019482720729709804
** -> gmm k=3 cov_type=diag elapsed seconds 1.5735626220703125e-05 <- took less than 1 second
** -> sil gmm k=3 cov_type=diag elapsed seconds 67.29382252693176 <- took 1.0 minute, 7.0 seconds
Dataset=ds4 k=3 cov_type=diag sil=0.04663137560011847
** -> gmm k=3 cov_type=tied elapsed seconds 1.5020370483398438e-05 <- took less than 1 second
** -> sil gmm k=3 cov_type=tied elapsed seconds 66.8437557220459 <- took 1.0 minute, 6.0 seconds
Dataset=ds4 k=3 cov_type=tied sil=0.0490074419807919
** -> gmm k=3 cov_type=full elapsed seconds 1.5735626220703125e-05 <- took less than 1 second
** -> sil gmm k=3 cov_type=full elapsed seconds 67.2547767162323 <- took 1.0 minute, 7.0 seconds
Dataset=ds4 k=3 cov_type=full sil=0.047694009395908565
** -> gmm k=4 cov_type=spherical elapsed seconds 1.52587890625e-05 <- took less than 1 second
** -> sil gmm k=4 cov_type=spherical elapsed seconds 67.21618366241455 <- took 1.0 minute, 7.0 seconds
Dataset=ds4 k=4 cov_type=spherical sil=-0.018554442226257763
