"Dataset","Xval Accuracy","Xval Precision","Xval F1 Score","Xval Recall","Xval Aggregate","Test Set Accuracy","Test Set Precision","Test Set F1 Score","Test Set Recall","Test Set Aggregate","Train Time"
"ds4 (Unmodified)",0.885,0.871,0.827,0.799,0.846,0.845,0.803,0.765,0.743,0.789,154.79517817497253
"ds4 (pca_30d_kmeans_augment)",0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,121.02192497253418
"ds4 (pca_30d_gmm_augment)",0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,127.66212558746338
"ds4 (pca_55d_kmeans_augment)",0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,182.14307284355164
"ds4 (pca_55d_gmm_augment)",0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,189.85667085647583
"ds4 (rp_30d_kmeans_augment)",0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,142.1603901386261
"ds4 (rp_30d_gmm_augment)",0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,153.18214178085327
"ds4 (rp_57d_kmeans_augment)",0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,128.1618037223816
"ds4 (rp_57d_gmm_augment)",0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,131.2284276485443
"ds1 (Unmodified)",0.815,0.834,0.791,0.778,0.804,0.798,0.814,0.773,0.761,0.787,703.2312424182892
"ds1 (pca_10d_kmeans_augment)",0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,525.3506572246552
"ds1 (pca_10d_gmm_augment)",0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,527.4964978694916
"ds1 (rp_10d_kmeans_augment)",0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,756.767541885376
"ds1 (rp_10d_gmm_augment)",0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,759.9720532894135
