dataset,recipe,tracc,trprec,trf1,trrec,tragg,tstacc,tstprec,tstf1,tstrec,tstagg,traintime
ds1,Unmodified,0.815,0.834,0.791,0.778,0.804,0.798,0.814,0.773,0.761,0.787,703
ds1,gmm_augment,0.815,0.824,0.795,0.784,0.804,0.798,0.805,0.776,0.766,0.786,916
ds1,gmm_replace,0.710,0.696,0.682,0.678,0.692,0.710,0.696,0.682,0.677,0.691,110
ds1,ica_10d,0.790,0.829,0.753,0.741,0.778,0.787,0.826,0.750,0.738,0.775,480
ds1,ica_5d,0.768,0.792,0.731,0.721,0.753,0.765,0.795,0.724,0.715,0.750,302
ds1,kmeans_augment,0.817,0.843,0.792,0.779,0.808,0.794,0.811,0.766,0.755,0.781,1071
ds1,kmeans_replace,0.712,0.698,0.684,0.680,0.694,0.711,0.698,0.683,0.679,0.693,148
ds1,lda_10d,0.764,0.802,0.720,0.711,0.749,0.765,0.802,0.720,0.711,0.749,164
ds1,lda_5d,0.764,0.802,0.720,0.711,0.749,0.765,0.802,0.720,0.711,0.749,163
ds1,pca_10d,0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,544
ds1,pca_10d_gmm_augment,0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,527
ds1,pca_10d_kmeans_augment,0.808,0.829,0.782,0.769,0.797,0.795,0.816,0.767,0.755,0.783,525
ds1,pca_5d,0.796,0.817,0.767,0.755,0.784,0.782,0.804,0.749,0.738,0.768,649
ds1,rp_10d,0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,778
ds1,rp_10d_gmm_augment,0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,759
ds1,rp_10d_kmeans_augment,0.811,0.834,0.785,0.772,0.800,0.797,0.819,0.768,0.755,0.785,756
ds1,rp_5d,0.729,0.769,0.668,0.667,0.708,0.725,0.763,0.663,0.663,0.704,192
ds4,Unmodified,0.885,0.871,0.827,0.799,0.846,0.845,0.803,0.765,0.743,0.789,154
ds4,gmm_augment,0.893,0.862,0.847,0.834,0.859,0.844,0.790,0.777,0.766,0.794,176
ds4,gmm_replace,0.760,0.380,0.432,0.500,0.518,0.760,0.380,0.432,0.500,0.518,4
ds4,ica_40d,0.840,0.789,0.766,0.749,0.786,0.839,0.788,0.762,0.745,0.784,49
ds4,ica_57d,0.850,0.811,0.775,0.754,0.797,0.568,0.528,0.512,0.538,0.536,40
ds4,kmeans_augment,0.893,0.861,0.849,0.838,0.860,0.843,0.788,0.777,0.767,0.794,123
ds4,kmeans_replace,0.760,0.380,0.432,0.500,0.518,0.760,0.380,0.432,0.500,0.518,4
ds4,lda_30d,0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,45
ds4,lda_40d,0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,45
ds4,lda_57d,0.841,0.790,0.767,0.751,0.787,0.842,0.791,0.768,0.752,0.788,36
ds4,pca_30d,0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,126
ds4,pca_30d_gmm_augment,0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,127
ds4,pca_30d_kmeans_augment,0.870,0.829,0.815,0.803,0.829,0.849,0.797,0.784,0.773,0.801,121
ds4,pca_55d,0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,231
ds4,pca_55d_gmm_augment,0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,189
ds4,pca_55d_kmeans_augment,0.892,0.849,0.853,0.857,0.863,0.838,0.778,0.778,0.779,0.793,182
ds4,rp_30d,0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,155
ds4,rp_30d_gmm_augment,0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,153
ds4,rp_30d_kmeans_augment,0.876,0.837,0.822,0.811,0.837,0.848,0.798,0.783,0.771,0.800,142
ds4,rp_40d,0.878,0.843,0.825,0.811,0.839,0.848,0.798,0.781,0.768,0.799,110
ds4,rp_57d,0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,130
ds4,rp_57d_gmm_augment,0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,131
ds4,rp_57d_kmeans_augment,0.881,0.855,0.825,0.805,0.842,0.845,0.797,0.770,0.752,0.791,128
